"sp","nyear","median_prop_primary_grid_cells","max_prop_primary_grid_cells","min_prop_primary_grid_cells","median_prop_secondary_grid_cells","max_prop_secondary_grid_cells","min_prop_secondary_grid_cells"
"ADENMA",0,0.815315315315315,0.851351351351351,0.774774774774775,0.3125,0.337053571428571,0.294642857142857
"ADENMA",50,0.912162162162162,0.945945945945946,0.869369369369369,0.430803571428571,0.462053571428571,0.408482142857143
"ADENMA",100,0.941441441441441,0.968468468468468,0.918918918918919,0.482142857142857,0.511160714285714,0.455357142857143
"ADENMA",150,0.95045045045045,0.972972972972973,0.927927927927928,0.502232142857143,0.526785714285714,0.473214285714286
"ADENMA",200,0.968468468468468,0.981981981981982,0.941441441441441,0.546875,0.578125,0.524553571428571
"ADENMA",250,0.981981981981982,0.990990990990991,0.968468468468468,0.618303571428571,0.654017857142857,0.589285714285714
"ADENMA",300,0.986486486486487,0.995495495495496,0.977477477477477,0.654017857142857,0.685267857142857,0.631696428571429
"ADENMA",350,0.986486486486487,0.995495495495496,0.981981981981982,0.674107142857143,0.703125,0.65625
"ADENMA",400,0.990990990990991,1,0.986486486486487,0.716517857142857,0.747767857142857,0.694196428571429
"ADENMA",450,0.995495495495496,1,0.986486486486487,0.756696428571429,0.783482142857143,0.729910714285714
"ADENMA",500,0.995495495495496,1,0.990990990990991,0.779017857142857,0.805803571428571,0.763392857142857
"ADENMA",550,0.995495495495496,1,0.986486486486487,0.799107142857143,0.825892857142857,0.779017857142857
"ADENMA",600,1,1,0.995495495495496,0.828125,0.854910714285714,0.810267857142857
"ADENMA",650,0.995495495495496,1,0.995495495495496,0.850446428571429,0.872767857142857,0.830357142857143
"ADENMA",700,0.995495495495496,1,0.995495495495496,0.863839285714286,0.886160714285714,0.848214285714286
"ADENMA",750,0.995495495495496,1,0.995495495495496,0.877232142857143,0.895089285714286,0.854910714285714
"ADENMA",800,1,1,0.995495495495496,0.895089285714286,0.919642857142857,0.875
"ADENMA",850,1,1,0.995495495495496,0.908482142857143,0.944196428571429,0.888392857142857
"ADENMA",900,0.997747747747748,1,0.995495495495496,0.917410714285714,0.944196428571429,0.904017857142857
"ADENMA",950,1,1,0.995495495495496,0.928571428571429,0.955357142857143,0.915178571428571
"ADENMA",1000,1,1,0.995495495495496,0.9375,0.962053571428571,0.924107142857143
"ANISME",0,0.207207207207207,0.234234234234234,0.189189189189189,0.0178571428571429,0.0245535714285714,0.0133928571428571
"ANISME",50,0.261261261261261,0.292792792792793,0.243243243243243,0.0245535714285714,0.03125,0.0178571428571429
"ANISME",100,0.288288288288288,0.310810810810811,0.265765765765766,0.0290178571428571,0.0379464285714286,0.0223214285714286
"ANISME",150,0.297297297297297,0.324324324324324,0.279279279279279,0.03125,0.0424107142857143,0.0245535714285714
"ANISME",200,0.315315315315315,0.337837837837838,0.292792792792793,0.0379464285714286,0.0446428571428571,0.0290178571428571
"ANISME",250,0.342342342342342,0.369369369369369,0.315315315315315,0.046875,0.0580357142857143,0.0379464285714286
"ANISME",300,0.36036036036036,0.382882882882883,0.337837837837838,0.0535714285714286,0.0736607142857143,0.0401785714285714
"ANISME",350,0.373873873873874,0.396396396396396,0.342342342342342,0.0580357142857143,0.0714285714285714,0.046875
"ANISME",400,0.396396396396396,0.432432432432432,0.364864864864865,0.0714285714285714,0.0870535714285714,0.0580357142857143
"ANISME",450,0.423423423423423,0.454954954954955,0.400900900900901,0.0803571428571429,0.0915178571428571,0.0669642857142857
"ANISME",500,0.445945945945946,0.477477477477477,0.423423423423423,0.0892857142857143,0.102678571428571,0.0803571428571429
"ANISME",550,0.463963963963964,0.490990990990991,0.441441441441441,0.0959821428571429,0.107142857142857,0.0870535714285714
"ANISME",600,0.486486486486487,0.522522522522523,0.454954954954955,0.104910714285714,0.113839285714286,0.0959821428571429
"ANISME",650,0.513513513513513,0.536036036036036,0.477477477477477,0.111607142857143,0.122767857142857,0.102678571428571
"ANISME",700,0.522522522522523,0.54954954954955,0.490990990990991,0.118303571428571,0.129464285714286,0.107142857142857
"ANISME",750,0.545045045045045,0.576576576576577,0.513513513513513,0.123883928571429,0.136160714285714,0.111607142857143
"ANISME",800,0.567567567567568,0.599099099099099,0.536036036036036,0.131696428571429,0.140625,0.120535714285714
"ANISME",850,0.585585585585586,0.612612612612613,0.554054054054054,0.138392857142857,0.154017857142857,0.127232142857143
"ANISME",900,0.599099099099099,0.63963963963964,0.572072072072072,0.145089285714286,0.160714285714286,0.133928571428571
"ANISME",950,0.626126126126126,0.666666666666667,0.599099099099099,0.154017857142857,0.169642857142857,0.142857142857143
"ANISME",1000,0.648648648648649,0.675675675675676,0.621621621621622,0.162946428571429,0.180803571428571,0.151785714285714
"ARTOLA",0,0.833333333333333,0.873873873873874,0.806306306306306,0.1875,0.209821428571429,0.167410714285714
"ARTOLA",50,0.927927927927928,0.954954954954955,0.90990990990991,0.28125,0.3125,0.261160714285714
"ARTOLA",100,0.95045045045045,0.972972972972973,0.936936936936937,0.323660714285714,0.354910714285714,0.301339285714286
"ARTOLA",150,0.959459459459459,0.977477477477477,0.945945945945946,0.34375,0.370535714285714,0.319196428571429
"ARTOLA",200,0.972972972972973,0.986486486486487,0.963963963963964,0.386160714285714,0.419642857142857,0.357142857142857
"ARTOLA",250,0.986486486486487,0.995495495495496,0.977477477477477,0.457589285714286,0.488839285714286,0.426339285714286
"ARTOLA",300,0.990990990990991,1,0.981981981981982,0.491071428571429,0.522321428571429,0.464285714285714
"ARTOLA",350,0.990990990990991,1,0.986486486486487,0.515625,0.540178571428571,0.484375
"ARTOLA",400,0.995495495495496,1,0.986486486486487,0.5625,0.600446428571429,0.535714285714286
"ARTOLA",450,0.995495495495496,1,0.990990990990991,0.609375,0.642857142857143,0.575892857142857
"ARTOLA",500,1,1,0.990990990990991,0.640625,0.676339285714286,0.613839285714286
"ARTOLA",550,0.995495495495496,1,0.990990990990991,0.667410714285714,0.700892857142857,0.633928571428571
"ARTOLA",600,0.995495495495496,1,0.995495495495496,0.707589285714286,0.747767857142857,0.671875
"ARTOLA",650,0.995495495495496,1,0.995495495495496,0.738839285714286,0.774553571428571,0.698660714285714
"ARTOLA",700,0.995495495495496,1,0.995495495495496,0.763392857142857,0.801339285714286,0.729910714285714
"ARTOLA",750,0.997747747747748,1,0.995495495495496,0.785714285714286,0.814732142857143,0.752232142857143
"ARTOLA",800,0.995495495495496,1,0.995495495495496,0.810267857142857,0.845982142857143,0.783482142857143
"ARTOLA",850,1,1,0.995495495495496,0.832589285714286,0.875,0.810267857142857
"ARTOLA",900,0.995495495495496,1,0.995495495495496,0.848214285714286,0.879464285714286,0.825892857142857
"ARTOLA",950,0.997747747747748,1,0.995495495495496,0.866071428571429,0.899553571428571,0.848214285714286
"ARTOLA",1000,1,1,0.995495495495496,0.881696428571429,0.917410714285714,0.863839285714286
"ARTORI",0,0.626126126126126,0.68018018018018,0.585585585585586,0.194196428571429,0.214285714285714,0.174107142857143
"ARTORI",50,0.779279279279279,0.81981981981982,0.72972972972973,0.287946428571429,0.334821428571429,0.265625
"ARTORI",100,0.837837837837838,0.878378378378378,0.801801801801802,0.337053571428571,0.361607142857143,0.305803571428571
"ARTORI",150,0.86036036036036,0.896396396396396,0.828828828828829,0.359375,0.383928571428571,0.330357142857143
"ARTORI",200,0.905405405405405,0.932432432432432,0.869369369369369,0.40625,0.433035714285714,0.379464285714286
"ARTORI",250,0.936936936936937,0.963963963963964,0.918918918918919,0.486607142857143,0.524553571428571,0.455357142857143
"ARTORI",300,0.954954954954955,0.972972972972973,0.936936936936937,0.533482142857143,0.578125,0.497767857142857
"ARTORI",350,0.963963963963964,0.977477477477477,0.941441441441441,0.560267857142857,0.607142857142857,0.535714285714286
"ARTORI",400,0.972972972972973,0.986486486486487,0.954954954954955,0.620535714285714,0.660714285714286,0.591517857142857
"ARTORI",450,0.981981981981982,0.990990990990991,0.968468468468468,0.676339285714286,0.703125,0.642857142857143
"ARTORI",500,0.986486486486487,0.995495495495496,0.977477477477477,0.712053571428571,0.745535714285714,0.680803571428571
"ARTORI",550,0.986486486486487,0.995495495495496,0.977477477477477,0.743303571428571,0.774553571428571,0.709821428571429
"ARTORI",600,0.990990990990991,1,0.986486486486487,0.779017857142857,0.808035714285714,0.754464285714286
"ARTORI",650,0.995495495495496,1,0.986486486486487,0.808035714285714,0.839285714285714,0.78125
"ARTORI",700,0.995495495495496,1,0.990990990990991,0.830357142857143,0.857142857142857,0.808035714285714
"ARTORI",750,0.995495495495496,1,0.990990990990991,0.852678571428571,0.883928571428571,0.825892857142857
"ARTORI",800,0.995495495495496,1,0.990990990990991,0.877232142857143,0.908482142857143,0.857142857142857
"ARTORI",850,0.997747747747748,1,0.990990990990991,0.893973214285714,0.921875,0.875
"ARTORI",900,1,1,0.995495495495496,0.908482142857143,0.9375,0.888392857142857
"ARTORI",950,1,1,0.995495495495496,0.921875,0.939732142857143,0.90625
"ARTORI",1000,1,1,0.995495495495496,0.935267857142857,0.955357142857143,0.917410714285714
"BLUMTO",0,0.572072072072072,0.603603603603604,0.545045045045045,0.0803571428571429,0.0959821428571429,0.0647321428571429
"BLUMTO",50,0.734234234234234,0.774774774774775,0.671171171171171,0.145089285714286,0.169642857142857,0.116071428571429
"BLUMTO",100,0.792792792792793,0.833333333333333,0.761261261261261,0.176339285714286,0.198660714285714,0.15625
"BLUMTO",150,0.81981981981982,0.86036036036036,0.783783783783784,0.189732142857143,0.21875,0.171875
"BLUMTO",200,0.869369369369369,0.914414414414414,0.837837837837838,0.225446428571429,0.25,0.196428571428571
"BLUMTO",250,0.927927927927928,0.959459459459459,0.90990990990991,0.28125,0.314732142857143,0.254464285714286
"BLUMTO",300,0.954954954954955,0.981981981981982,0.927927927927928,0.314732142857143,0.348214285714286,0.283482142857143
"BLUMTO",350,0.968468468468468,0.986486486486487,0.941441441441441,0.339285714285714,0.379464285714286,0.310267857142857
"BLUMTO",400,0.981981981981982,0.995495495495496,0.963963963963964,0.389508928571429,0.435267857142857,0.359375
"BLUMTO",450,0.990990990990991,0.995495495495496,0.981981981981982,0.441964285714286,0.497767857142857,0.408482142857143
"BLUMTO",500,0.990990990990991,1,0.981981981981982,0.478794642857143,0.540178571428571,0.441964285714286
"BLUMTO",550,0.990990990990991,1,0.981981981981982,0.513392857142857,0.5625,0.479910714285714
"BLUMTO",600,0.995495495495496,1,0.990990990990991,0.5625,0.600446428571429,0.529017857142857
"BLUMTO",650,0.995495495495496,1,0.990990990990991,0.604910714285714,0.649553571428571,0.578125
"BLUMTO",700,0.995495495495496,1,0.990990990990991,0.633928571428571,0.694196428571429,0.602678571428571
"BLUMTO",750,0.995495495495496,1,0.990990990990991,0.667410714285714,0.709821428571429,0.638392857142857
"BLUMTO",800,1,1,0.995495495495496,0.705357142857143,0.747767857142857,0.676339285714286
"BLUMTO",850,1,1,0.995495495495496,0.736607142857143,0.78125,0.712053571428571
"BLUMTO",900,1,1,0.995495495495496,0.765625,0.808035714285714,0.734375
"BLUMTO",950,0.995495495495496,1,0.995495495495496,0.792410714285714,0.830357142857143,0.772321428571429
"BLUMTO",1000,0.995495495495496,1,0.995495495495496,0.819196428571429,0.850446428571429,0.799107142857143
"CALOBM",0,0.644144144144144,0.671171171171171,0.612612612612613,0.176339285714286,0.194196428571429,0.158482142857143
"CALOBM",50,0.774774774774775,0.810810810810811,0.743243243243243,0.279017857142857,0.305803571428571,0.25
"CALOBM",100,0.824324324324324,0.86036036036036,0.792792792792793,0.325892857142857,0.357142857142857,0.296875
"CALOBM",150,0.846846846846847,0.873873873873874,0.810810810810811,0.348214285714286,0.368303571428571,0.319196428571429
"CALOBM",200,0.887387387387387,0.914414414414414,0.846846846846847,0.392857142857143,0.430803571428571,0.366071428571429
"CALOBM",250,0.932432432432432,0.959459459459459,0.900900900900901,0.466517857142857,0.5,0.4375
"CALOBM",300,0.95045045045045,0.972972972972973,0.918918918918919,0.511160714285714,0.551339285714286,0.482142857142857
"CALOBM",350,0.959459459459459,0.981981981981982,0.936936936936937,0.537946428571429,0.584821428571429,0.508928571428571
"CALOBM",400,0.972972972972973,0.995495495495496,0.954954954954955,0.589285714285714,0.618303571428571,0.560267857142857
"CALOBM",450,0.984234234234234,1,0.972972972972973,0.638392857142857,0.669642857142857,0.609375
"CALOBM",500,0.990990990990991,1,0.977477477477477,0.668526785714286,0.689732142857143,0.633928571428571
