sp,Latin,dispersal1,dispersal2,native,ecology,notes
AAAAAA,Unidentified indet.,NA,NA,NA,NA,
ACACAU,Acacia auriculiformis,biotic,animal_small,no,shade-intolerant,
ACHRPO,Maclurodendron porteri,biotic,animal_small,yes,sub-canopy,
ACMEAC,Acmena acuminatissima,biotic,animal_small,yes,shade-tolerant,
ACTEEX,Actephila excelsa,abiotic,ballistic,yes,understorey,
ACTIGL,Actinodaphne glomerata,biotic,animal_small,yes,understorey,
ACTIML,Actinodaphne malaccensis,biotic,animal_small,yes,sub-canopy,
ADENMA,Adenanthera malayana,biotic,animal_small,yes,shade-tolerant,
ADENPA,Adenanthera pavonina,biotic,animal_small,yes,shade-tolerant,
ADINDU,Adinandra dumosa,biotic,animal_small,yes,shade-intolerant,
ADININ,Adinandra integerrima,biotic,animal_small,yes,sub-canopy,
AGLA%%,Aglaia indet.,NA,NA,NA,NA,
AGLACH,Aglaia glabriflora,biotic,animal_small,yes,sub-canopy,
AGLACN,Aglaia crassinervia,biotic,animal_large,yes,shade-tolerant,
AGLAES,Aglaia exstipulata,biotic,animal_large,yes,sub-canopy,
AGLAMC,Aglaia macrocarpa,biotic,animal_large,yes,shade-tolerant,
AGLAML,Aglaia malaccensis,biotic,animal_small,yes,sub-canopy,
AGLAOD,Aglaia odoratissima,biotic,animal_small,yes,understorey,
AGLARN,Aglaia rufinervis,biotic,animal_small,yes,sub-canopy,
AGLASX,Aglaia sexipetala,biotic,animal_small,yes,sub-canopy,
AGLATH,Aglaia elliptica,biotic,animal_large,yes,sub-canopy,
AGLATR,Aglaia tomentosa cordata,biotic,animal_small,yes,understorey,
AGROLO,Agrostistachys longifolia,abiotic,ballistic/gravity,yes,understorey,
AIDIWA,Aidia wallichiana,biotic,animal_small,yes,understorey,
ALANEB,Alangium javanicum cf. var. javanicum,biotic,animal_large,yes,shade-tolerant,
ALANER,Alangium javanicum var. ebenaceum,biotic,animal_large,yes,shade-tolerant,
ALANGR,Alangium griffithii,biotic,animal_small,yes,understorey,
ALANLO,Alangium longiflorum,biotic,animal_small,yes,shade-tolerant,
ALANNO,Alangium nobile,biotic,animal_small,yes,sub-canopy,
ALBIFA,Paraserianthes falcataria,abiotic,ballistic,no,shade-intolerant,
ALPHJO,Alphonsea johorensis,biotic,animal_small,yes,sub-canopy,
ALSEOB,Alseodaphne oblanceolata,biotic,animal_large,yes,sub-canopy,
ALSTAF,Alstonia angustifolia,abiotic,wind,yes,shade-intolerant,
ALSTAL,Alstonia angustiloba,abiotic,wind,yes,shade-intolerant,
ALSTPN,Alstonia cf. pneumatophora,abiotic,wind,yes,shade-tolerant,
ANISCO,Anisoptera costata,abiotic,gyration,yes,shade-tolerant,
ANISDI,Anisophyllea disticha,biotic,animal_small,yes,understorey,
ANISGR,Anisophyllea griffithii,biotic,animal_small,yes,sub-canopy,
ANISLA,Anisoptera laevis,abiotic,gyration,yes,shade-tolerant,
ANISME,Anisoptera megistocarpa,abiotic,gyration,yes,shade-tolerant,
ANTICO,Antidesma coriaceum,biotic,animal_small,yes,understorey,
ANTINE,Antidesma neurocarpum,biotic,animal_small,yes,understorey,
ANTITO,Antiaris toxicaria,biotic,animal_small,yes,shade-tolerant,
APHAPO,Aphanamixis polystachya,biotic,animal_large,yes,sub-canopy,
APOR%%,Aporusa indet.,NA,NA,NA,NA,
APORBE,Aporosa benthamiana,biotic,animal_small,yes,sub-canopy,
APORFA,Aporosa falcifera,biotic,animal_small,yes,shade-tolerant,
APORFR,Aporosa frutescens,biotic,animal_small,yes,sub-canopy,
APORLN,Aporusa lunatum,biotic,animal_small,yes,sub-canopy,
APORMI,Aporusa microstachya,biotic,animal_small,yes,understorey,
APORMQ,Aporusa miqueliana,biotic,animal_small,yes,sub-canopy,
APORNE,Aporosa nervosa,biotic,animal_small,yes,sub-canopy,
APORNI,Aporusa nigricans,biotic,animal_small,yes,sub-canopy,
APORSY,Aporusa symplocoides,biotic,animal_small,yes,sub-canopy,
AQUIMA,Aquilaria malaccensis,biotic,animal_small,yes,shade-tolerant,
ARCHBU,Archidendron bubalinum,biotic,animal_small,yes,shade-tolerant,
ARCHCL,Archidendron clypearia,biotic,animal_small,yes,shade-intolerant,
ARCHCO,Archidendron contortum,biotic,animal_small,yes,understorey,
ARCHJI,Archidendron jiringa,biotic,animal_small,yes,sub-canopy,
ARDICO,Ardisia colorata,biotic,animal_small,yes,understorey,
ARDITY,Ardisia teysmanniana,biotic,animal_small,yes,understorey,
ARENWE,Arenga westerhoutii,biotic,animal_large,yes,understorey,
ARTHDI,Arthrophyllum diversifolium,biotic,animal_small,yes,sub-canopy,
ARTO%%,Artocarpus indet.,NA,NA,NA,NA,
ARTOAN,Artocarpus anisophyllus,biotic,animal_small,yes,shade-tolerant,
